user,category,question,answer,detail
redisyoyo,樂,2018富士山開山日一問,2018富士山的開山日問題,景點/活動/店家資訊
redisyoyo,樂,想換韓幣..有匯率高一點的嗎..我想換依些韓幣12/25-12/28要去韓國阿,有換匯率高一點的韓幣...我想換一些 我12/25-12/28要去韓國阿,匯率
redisyoyo,樂,去京都的行程跟預算?,京都之行的行程與預算?,預算支出
redisyoyo,樂,請問在東京買Aigle外套可以退稅?,可退稅嗎?在東京買的Aigle外套,優惠折扣
redisyoyo,樂,請問哪裡有日本porter包的專賣店？？？,日本porter包的專賣店哪裡有???,找景點/活動/店家
redisyoyo,樂,上野丸井百貨的@COSME、PLAZA、LOFT有中信九折嗎?,中信九折有在中信九折嗎?@COSME、PLAZA、LOFT這三家,優惠折扣
黃阿祥,食,﻿西班牙有什麼好吃的、特別的餐廳的嗎？,有推薦什麼在西班牙的好吃特色餐廳嗎?,找餐廳/店家或菜色
黃阿祥,食,請問新村站著吃燒肉休息時間,新村站著吃燒肉營業時間是幾點?,餐廳基本資訊 (地址、聯絡方式、營業時間)
黃阿祥,食,台北的壽喜燒哪些有當月壽星折扣?,哪幾家台北的壽喜燒有當月壽星優惠?,優惠折扣
黃阿祥,衣,﻿哪裡買得到這種波西米亞風格的衣服,波西米亞風的衣服哪裡有賣?,其他
黃阿祥,衣,gozo有賣女用手套嗎,女用手套在gozo買的到嗎?,其他
黃阿祥,衣,A&F格紋褲是不是比工作短褲緊阿？,工作短褲有比A&F格紋褲寬鬆嗎?,尺寸問題
黃阿祥,住,﻿台北市有可攜帶寵物一同入住的日租型房嗎?,台北市有哪些日租套房接受寵物入住的?,設施與服務
黃阿祥,住,關於三人入住雙人房的問題,雙人房住三人的相關問題,訂退房或入住(Check in)
黃阿祥,住,入住國外飯店時要注意的禁忌..........,有什麼禁忌在國外飯店要特別注意,住宿禮儀或禁忌
黃阿祥,行,﻿有人坐過Country link的火車嗎,Country link的火車坐起來感覺如何?,坐火車
黃阿祥,行,"今日澳洲國際所有航班,因地勤罷工而會嚴重delay,旅客將延誤或完全無法提取行李(老包)",今日所有澳洲國際航班的旅客，會因地勤罷工而延誤或完全無法提取行李,搭飛機
黃阿祥,行,請問麗星郵輪帶酒及飲料上船,請問麗星郵輪對於自備酒水飲料有無規定?,搭船/郵輪
黃阿祥,樂,﻿台灣帶狗狗出遊的好地方,台灣有哪些地方適合帶狗一起出遊?,景點/行程/購物推薦
黃阿祥,樂,2018富士山開山日一問,富士山2018開山日相關問題,景點/活動/店家資訊
黃阿祥,樂,想換韓幣..有匯率高一點的嗎..我想換依些韓幣12/25-12/28要去韓國阿,12月25至28要去韓國，請問哪裡可以換到匯率高一點的韓元?,匯率
黃阿祥,樂,去京都的行程跟預算?,去京都的行程規劃以及預算支出的相關問題,預算支出
黃阿祥,樂,請問在東京買Aigle外套可以退稅?,Aigle外套在東京買能夠退稅嗎?,報關/稅制
黃阿祥,樂,請問哪裡有日本porter包的專賣店？？？,日本porter包專賣店開在哪?,景點/行程/購物推薦
黃阿祥,樂,上野丸井百貨的@COSME、PLAZA、LOFT有中信九折嗎?,在上野丸井百貨的@COSME、PLAZA、LOFT刷中信卡有九折優惠嗎?,優惠折扣
黃阿祥,樂,請問首爾的戰爭紀念館裡有無中文導覽呢?,首爾的戰爭紀念館有提供中文導覽服務嗎?,設施與服務
黃阿祥,樂,下禮拜一8/29去關西遇颱風,八月29日下週一去日本關西會剛好颱風天,氣候/天氣/路況
黃阿祥,樂,藤子不二雄博物馆怎么买票,藤子不二雄博物館的入場券怎麼買,票券相關
黃阿祥,行,8天7夜台中台南 包車服務查詢,請問8天7夜的台中台南遊有沒有合適的包車服務?,包車
黃阿祥,行,首衝沖繩~想問trc租車保險問題,第一次去沖繩，想請問trc租車的保險問題,租車自駕
游宇庭,食,﻿西班牙有什麼好吃的、特別的餐廳的嗎？,西班牙有哪間特別又好吃的餐廳嗎？,餐廳/店家評價或推薦
游宇庭,食,請問新村站著吃燒肉休息時間,請問＂新村站著吃燒肉＂這家店的休息時間？,餐廳基本資訊 (地址、聯絡方式、營業時間)
游宇庭,食,台北的壽喜燒哪些有當月壽星折扣?,台北有哪些壽喜燒友當月壽星折扣的？,優惠折扣
游宇庭,食,有沒有人知道這餐廳在哪裡呀？,有人知道這間餐廳在哪裡嗎？,餐廳基本資訊 (地址、聯絡方式、營業時間)
游宇庭,食,請教現在在台北還能訂到4人份的2017春節的年夜飯嗎？,請問台北現在還能訂到四人份的2017年夜飯嗎？,找餐廳/店家或菜色
游宇庭,食,林東芳牛肉麵營業時間,請問＂林東芳＂牛肉麵的營業時間？,餐廳基本資訊 (地址、聯絡方式、營業時間)
游宇庭,食,太魯閣國家公園遊客中心有簡餐嗎?,太魯閣國家公園的遊客中心裡面有簡餐嗎？,找餐廳/店家或菜色
游宇庭,食,怎可以在西門町馬辣訂位?,請問要怎麼在西門町的＂馬辣＂火鍋店訂位？,餐廳訂位
游宇庭,食,請問週六去吃前三輪的壽司大 大概要幾點去排隊？,請問星期六若想去吃＂壽司大＂的前三輪壽司，大概要幾點就去排隊呢？,消費方式/價格
游宇庭,食,九份喝茶的最低消费,請問在九份喝茶的低消是多少？,消費方式/價格
游宇庭,衣,﻿哪裡買得到這種波西米亞風格的衣服,哪裡能買到這種波希米亞風的衣服？,穿搭風格
游宇庭,衣,gozo有賣女用手套嗎,請問＂gozo＂有賣女手套嗎？,尺寸問題
游宇庭,衣,A&F格紋褲是不是比工作短褲緊阿？,＂A&F＂的格紋褲比起工作短褲是不是比較緊？,尺寸問題
游宇庭,衣,可以推薦個麂皮清潔用品嗎?,有推薦的麂皮清潔用品嗎？,評價/推薦
游宇庭,衣,TOMMY到過年那時候還會有折扣嗎?,請問＂Tommy＂到過年還有折扣嗎？,優惠折扣
游宇庭,衣,請問這個PORTER Smoky 是真品嗎？,這是真的＂PORTER Smoky＂嗎？,商品真偽
游宇庭,衣,請問我有辦法挽救我的羽絨外套嗎,我真的有辦法挽救這件羽絨外套嗎？,清洗修改
游宇庭,衣,在G2000特賣會買的衣服可以到門市換貨嗎？,請問在＂G2000＂特賣會上買的衣服可以拿到門市做換貨的動作嗎？,退換貨及保固
游宇庭,衣,有關於素t品牌的材質,請問素T的各種品牌材質如何？,服裝品牌
游宇庭,衣,有鄉民知道 YOHJI YAMAMOTO 的圍巾大概多少錢嗎？,鄉民們知道＂YOHJI YAMAMOTO＂的圍巾大概多少錢嗎？,價格相關
游宇庭,住,﻿台北市有可攜帶寵物一同入住的日租型房嗎?,台北有日租房型是可以養寵物的嗎？,住宿禮儀或禁忌
游宇庭,住,關於三人入住雙人房的問題,請問關於三人想住雙人房的問題？,住宿類型或風格
游宇庭,住,入住國外飯店時要注意的禁忌..........,請問有沒有去住國外飯店時要特別注意的禁忌？,住宿禮儀或禁忌
游宇庭,住,請問台灣有沒有便宜的民宿只提供床位和盥洗?,台灣有沒有便宜且只提供床位及盥洗服務的民宿？,住宿評價或推薦
游宇庭,住,一榮飯店在樂天價格早上跟晚上不同？,一榮飯店在樂天的價格早上和晚上是不一樣的嗎？,住宿價格/稅金
游宇庭,住,持KIX-ITM卡住關西日航飯店會打折嗎?,請問持有＂KIX-ITM＂卡入住關西的日航飯店有折扣嗎？,優惠折扣
游宇庭,住,想請問The Dorm跟FUKU青年旅店周邊環境安全問題,請問＂The Dorm＂和＂FUKU青年旅店＂的周圍環境安全嗎？,安全問題
游宇庭,住,可以推薦離地鐵近的住宿嗎？,有沒有推薦離地鐵近的住宿？,住宿評價或推薦
游宇庭,住,請問東橫INN大阪船場2號店交通位置是否方便？20170207開幕,請問2017年2月7號開幕的＂東橫INN大阪船場2號店＂的交通位置方面嗎？,飯店聯絡或基本資訊
游宇庭,住,九份海景雙人房 讓出,請問有沒有多的九份海景雙人套房？,訂退房或入住(Check in)
游宇庭,行,﻿有人坐過Country link的火車嗎,請問有人搭過＂Country link＂火車嗎？,坐火車
游宇庭,行,"今日澳洲國際所有航班,因地勤罷工而會嚴重delay,旅客將延誤或完全無法提取行李(老包)",今天澳洲國際因為地勤罷工，所有航班嚴重delay，甚至影響旅客提取行李,搭飛機
游宇庭,行,請問麗星郵輪帶酒及飲料上船,請問搭乘麗星郵輪可以帶酒或飲料上船嗎？,搭船/郵輪
游宇庭,行,8天7夜台中台南 包車服務查詢,請問有沒有8天7夜的台中、台南包車服務？,包車
游宇庭,行,首衝沖繩~想問trc租車保險問題,第一次去沖繩，想請問TRC租車的相關保險問題？,租車自駕
游宇庭,行,JR東日本鐵路周遊券（長野、新潟地區）有包含埼玉新都市交通嗎,請問＂JR東日本鐵路周遊券（長野、新潟地區）＂有包含到埼玉新都市嗎？,交通票卡/票券
游宇庭,行,駕照譯本更換問題,請問要如何申請駕照譯本？,簽證護照
游宇庭,行,計程車安全座椅問題,請問關於計程車安全座椅的問題？,設施與服務
游宇庭,行,沖繩機場有行李箱寄放的櫃子嗎,沖繩機場有寄放行李箱的櫃子嗎？,設施與服務
陳俊宏,食,﻿西班牙有什麼好吃的、特別的餐廳的嗎？,西班牙哪裡有好吃或特別的餐廳?,找餐廳/店家或菜色
陳俊宏,食,請問新村站著吃燒肉休息時間,請問新村站著吃燒肉的公休時間,餐廳基本資訊 (地址、聯絡方式、營業時間)
陳俊宏,食,台北的壽喜燒哪些有當月壽星折扣?,台北哪裡有有提供當月壽星折扣的壽喜燒店?,找餐廳/店家或菜色
陳俊宏,食,有沒有人知道這餐廳在哪裡呀？,這餐廳有人曉得在哪裡嗎?,找餐廳/店家或菜色
陳俊宏,衣,﻿哪裡買得到這種波西米亞風格的衣服,這波西米亞風格的衣服哪裡買得到?,其他
陳俊宏,衣,gozo有賣女用手套嗎,gozo買得到女用手套嗎?,其他
陳俊宏,衣,A&F格紋褲是不是比工作短褲緊阿？,A&F格紋褲穿起來比工作短褲緊嗎?,其他
陳俊宏,衣,可以推薦個麂皮清潔用品嗎?,麂皮清潔用品能推薦幾個嗎?,評價/推薦
陳俊宏,衣,TOMMY到過年那時候還會有折扣嗎?,過年的時候，TOMMY還有提供折扣嗎?,優惠折扣
陳俊宏,住,﻿台北市有可攜帶寵物一同入住的日租型房嗎?,﻿台北市有允許寵物入住的日租型房嗎?,住宿類型或風格
陳俊宏,住,關於三人入住雙人房的問題,想請教三人住雙人房的問題,訂退房或入住(Check in)
陳俊宏,住,入住國外飯店時要注意的禁忌..........,住國外飯店要小心哪些禁忌?,住宿禮儀或禁忌
陳俊宏,住,請問台灣有沒有便宜的民宿只提供床位和盥洗?,台灣有只提供床位和盥洗的便宜民宿嗎?,住宿類型或風格
陳俊宏,行,﻿有人坐過Country link的火車嗎,Country link的火車有人坐過嗎?,坐火車
陳俊宏,行,"今日澳洲國際所有航班,因地勤罷工而會嚴重delay,旅客將延誤或完全無法提取行李(老包)",今天因地勤罷工而造成澳洲國際所有航班嚴重延後，旅客將延誤或完全無法提取行李,其他
陳俊宏,行,請問麗星郵輪帶酒及飲料上船,關於帶酒及飲料搭乘麗星郵輪,搭船/郵輪
陳俊宏,行,8天7夜台中台南 包車服務查詢,想查詢8天7夜台中台南旅遊的包車服務,包車
陳俊宏,樂,﻿台灣帶狗狗出遊的好地方,推薦台灣遛狗的好地方,景點/行程/購物推薦
陳俊宏,樂,2018富士山開山日一問,想問2018富士山開山日,景點/活動/店家資訊
陳俊宏,樂,想換韓幣..有匯率高一點的嗎..我想換依些韓幣12/25-12/28要去韓國阿,12/25-12/28要去韓國，有匯率高一些的地方換韓幣嗎?,匯率
陳俊宏,樂,去京都的行程跟預算?,請教京都旅遊的行程跟預算,預算支出
陳俊宏,樂,請問在東京買Aigle外套可以退稅?,在東京買的Aigle外套能退稅嗎?,報關/稅制
陳俊宏,樂,請問哪裡有日本porter包的專賣店？？？,日本porter包的專賣店哪裡有?,找景點/活動/店家
victor,食,﻿西班牙有什麼好吃的、特別的餐廳的嗎？,西班牙有什麼好吃的、特別的餐廳的嗎,優惠折扣
victor,食,請問新村站著吃燒肉休息時間,請問新村燒肉休息時間是何時,餐廳基本資訊 (地址、聯絡方式、營業時間)
victor,食,台北的壽喜燒哪些有當月壽星折扣?,台北的壽喜燒哪些有當月壽星折扣,消費方式/價格
cclu,食,﻿西班牙有什麼好吃的、特別的餐廳的嗎？,推薦一下去西班牙吃甚麼,餐廳/店家評價或推薦
cclu,食,請問新村站著吃燒肉休息時間,請問新村燒肉甚麼時候休息,餐廳基本資訊 (地址、聯絡方式、營業時間)
cclu,衣,﻿哪裡買得到這種波西米亞風格的衣服,想買波希米亞風格的衣服去哪裡買,服裝品牌
cclu,衣,gozo有賣女用手套嗎,gozo可以買到女用手套嗎?,服裝品牌
Joanne,食,﻿西班牙有什麼好吃的、特別的餐廳的嗎？,沒有,優惠折扣
changyc,食,﻿西班牙有什麼好吃的、特別的餐廳的嗎？,西班牙有什麼特別好吃的餐廳嗎？,餐廳/店家評價或推薦
changyc,食,請問新村站著吃燒肉休息時間,想知道新村站著吃燒肉的關門時間,餐廳基本資訊 (地址、聯絡方式、營業時間)
姜家禧,食,﻿西班牙有什麼好吃的、特別的餐廳的嗎？,你可以推薦我在西班牙好吃、特別的餐廳嗎？,找餐廳/店家或菜色
姜家禧,食,台北的壽喜燒哪些有當月壽星折扣?,在哪些台北的壽喜燒餐廳有壽星折扣？,優惠折扣
姜家禧,食,有沒有人知道這餐廳在哪裡呀？,這家餐廳在哪裡？,餐廳基本資訊 (地址、聯絡方式、營業時間)
姜家禧,食,請教現在在台北還能訂到4人份的2017春節的年夜飯嗎？,請問在台北現在還能訂4人份的年夜飯嗎？,其他
姜家禧,食,林東芳牛肉麵營業時間,林東芳牛肉麵的營業時間是幾點到幾點？,餐廳基本資訊 (地址、聯絡方式、營業時間)
姜家禧,食,太魯閣國家公園遊客中心有簡餐嗎?,太魯閣國家公園遊客中心有餐廳嗎？,問適合餐廳
姜家禧,食,怎可以在西門町馬辣訂位?,要怎麼訂西門町的馬辣？,餐廳訂位
姜家禧,食,請問週六去吃前三輪的壽司大 大概要幾點去排隊？,週六去吃壽司大要幾點去排隊？,其他
姜家禧,食,九份喝茶的最低消费,在九份喝茶大概多少錢？,消費方式/價格
姜家禧,衣,﻿哪裡買得到這種波西米亞風格的衣服,這種波西米亞風格的衣服要去哪裡買？,評價/推薦
姜家禧,衣,gozo有賣女用手套嗎,gozo有沒有女用手套？,評價/推薦
姜家禧,衣,可以推薦個麂皮清潔用品嗎?,麂皮清潔用品哪個好用？,清洗修改
姜家禧,衣,TOMMY到過年那時候還會有折扣嗎?,TOMMY過年有沒有折扣？,優惠折扣
姜家禧,衣,請問這個PORTER Smoky 是真品嗎？,這個PORTER Smoky 是真的嗎？,商品真偽
姜家禧,衣,請問我有辦法挽救我的羽絨外套嗎,羽絨外套有辦法修嗎？,清洗修改
姜家禧,衣,有關於素t品牌的材質,素t得材質,衣物材質
姜家禧,衣,有鄉民知道 YOHJI YAMAMOTO 的圍巾大概多少錢嗎？,YOHJI YAMAMOTO的圍巾多少錢？,價格相關
yifen,食,﻿西班牙有什麼好吃的、特別的餐廳的嗎？,西班牙有哪些特色美食?,其他
yifen,食,有沒有人知道這餐廳在哪裡呀？,請問，這家餐廳在哪裡?,餐廳基本資訊 (地址、聯絡方式、營業時間)
yifen,食,請教現在在台北還能訂到4人份的2017春節的年夜飯嗎？,請問，4人的2017春節年夜飯還有位子嗎?,餐廳訂位
yifen,食,林東芳牛肉麵營業時間,林東芳牛肉麵幾點開門?,餐廳基本資訊 (地址、聯絡方式、營業時間)
yifen,食,太魯閣國家公園遊客中心有簡餐嗎?,在太魯閣國家公園遊客中心有簡餐店嗎?,找餐廳/店家或菜色
yifen,食,怎可以在西門町馬辣訂位?,怎麼訂西門町馬辣店?,餐廳訂位
yifen,食,請問週六去吃前三輪的壽司大 大概要幾點去排隊？,禮拜六應該幾點要去三輪壽司店排隊?,餐廳/店家評價或推薦
yifen,食,九份喝茶的最低消费,九份喝茶有最低消費嗎?,消費方式/價格
yifen,衣,﻿哪裡買得到這種波西米亞風格的衣服,這裡有買波西米亞風格的衣服嗎?,其他
yifen,衣,gozo有賣女用手套嗎,這裡有在賣女手套嗎?,其他
yifen,衣,A&F格紋褲是不是比工作短褲緊阿？,A&F格紋褲是不是比較緊?,尺寸問題
yifen,衣,TOMMY到過年那時候還會有折扣嗎?,Tommy在過年時，還有折扣嗎?,優惠折扣
yifen,衣,請問這個PORTER Smoky 是真品嗎？,PORTER Smoky是真貨嗎?,商品真偽
yifen,衣,請問我有辦法挽救我的羽絨外套嗎,我的羽絨外套怎麼修理好?,退換貨及保固
yifen,衣,在G2000特賣會買的衣服可以到門市換貨嗎？,我在特賣會買的衣服，門市可以換貨嗎?,退換貨及保固
yifen,衣,有關於素t品牌的材質,這件素t品牌材質是什麼?,衣物材質
yifen,衣,有鄉民知道 YOHJI YAMAMOTO 的圍巾大概多少錢嗎？, YOHJI YAMAMOTO 的圍巾多少錢?,價格相關
YEH,衣,﻿哪裡買得到這種波西米亞風格的衣服,這種波西米亞風格的衣服可以哪裡買到？,其他
林婉鈺,食,﻿西班牙有什麼好吃的、特別的餐廳的嗎？,有什麼好吃的、特別的餐廳在西班牙嗎?,問適合餐廳
林婉鈺,食,請問新村站著吃燒肉休息時間,請問新村休息時間哪裡有站著吃燒肉的店?,問適合餐廳
林婉鈺,衣,﻿哪裡買得到這種波西米亞風格的衣服,波希米亞風格的衣服要去哪裡買?,穿搭風格
林婉鈺,衣,gozo有賣女用手套嗎,女用手套gozo有嗎,其他
林婉鈺,住,﻿台北市有可攜帶寵物一同入住的日租型房嗎?,台北市有可帶寵物的日租套房嗎?,住宿類型或風格
林婉鈺,住,關於三人入住雙人房的問題,請問三個人入住雙人房費怎麼算?,其他
林婉鈺,行,﻿有人坐過Country link的火車嗎,Country line的火車有人坐過嗎,坐火車
林婉鈺,行,"今日澳洲國際所有航班,因地勤罷工而會嚴重delay,旅客將延誤或完全無法提取行李(老包)","今日澳洲因地勤罷工，所有國際航班會嚴重delay,旅客將延誤或完全無法提取行李(老包)",其他
林婉鈺,行,請問麗星郵輪帶酒及飲料上船,請問麗星郵輪能帶酒及飲料上船嗎?,設施與服務
林婉鈺,行,8天7夜台中台南 包車服務查詢,請問哪裡可以查詢台中台南8天7夜的包車服務?,包車
林婉鈺,樂,﻿台灣帶狗狗出遊的好地方,請問台灣哪裡是帶狗狗出遊的好地方?,景點/行程/購物推薦
林婉鈺,樂,2018富士山開山日一問,請問2018富士山開山日是什麼時候?,景點/活動/店家資訊
nana,衣,﻿哪裡買得到這種波西米亞風格的衣服,波西米亞風格衣服哪裡買,評價/推薦
shyang,食,﻿西班牙有什麼好吃的、特別的餐廳的嗎？,西班牙什麼料理最好吃，哪一家餐廳最值得推薦？,餐廳/店家評價或推薦
shyang,食,請問新村站著吃燒肉休息時間,請問新村站著吃燒肉的營業時間,餐廳基本資訊 (地址、聯絡方式、營業時間)
shyang,食,台北的壽喜燒哪些有當月壽星折扣?,台北的壽喜燒的餐廳中有哪些是有提供當月壽星折扣的,優惠折扣
shyang,食,有沒有人知道這餐廳在哪裡呀？,有人知道這家餐廳的地址嗎？,餐廳基本資訊 (地址、聯絡方式、營業時間)
shyang,食,請教現在在台北還能訂到4人份的2017春節的年夜飯嗎？,請問如果我想在台北訂2017春節的年夜飯，4個人用餐，是做得到的嗎？,餐廳訂位
shyang,食,林東芳牛肉麵營業時間,林東芳牛肉麵店營業時間,餐廳基本資訊 (地址、聯絡方式、營業時間)
shyang,食,太魯閣國家公園遊客中心有簡餐嗎?,請問太魯閣國家公園遊客中心有販售簡餐嗎？,找餐廳/店家或菜色
shyang,食,怎可以在西門町馬辣訂位?,如何可以訂到西門町馬辣的位？,餐廳訂位
shyang,食,請問週六去吃前三輪的壽司大 大概要幾點去排隊？,如果我要在週六的時候去吃前三輪壽司大，我大概要幾點去排隊比較好？,餐廳基本資訊 (地址、聯絡方式、營業時間)
shyang,食,九份喝茶的最低消费,九份喝茶的最低消費是多少？,消費方式/價格
shyang,衣,﻿哪裡買得到這種波西米亞風格的衣服,請問哪裡可以買到這種波西米亞風格的衣服,服裝品牌
shyang,衣,gozo有賣女用手套嗎,請問gozo有女用手套的款式嗎？,服裝品牌
shyang,衣,A&F格紋褲是不是比工作短褲緊阿？,A&F賣的格紋褲是不是比工作短褲緊啊？,尺寸問題
shyang,衣,可以推薦個麂皮清潔用品嗎?,我想清潔麂皮，請問是否推薦相關的產品？,清洗修改
shyang,衣,TOMMY到過年那時候還會有折扣嗎?,請問TOMMY請問的折扣到什麼時候，會到過年那時候嗎?,優惠折扣
shyang,衣,請問我有辦法挽救我的羽絨外套嗎,請問我的羽絨外套還有救嗎？,清洗修改
shyang,衣,在G2000特賣會買的衣服可以到門市換貨嗎？,我在G2000特賣會買的衣服可以拿到門市換嗎？,退換貨及保固
shyang,衣,有關於素t品牌的材質,請問素t品牌的材質如何？,衣物材質
shyang,衣,有鄉民知道 YOHJI YAMAMOTO 的圍巾大概多少錢嗎？,請問 YOHJI YAMAMOTO 圍巾的價錢是多少？,價格相關
shyang,住,﻿台北市有可攜帶寵物一同入住的日租型房嗎?,我需要和寵物一起入住，請問台北市有這種日租型房嗎？,住宿類型或風格
shyang,住,關於三人入住雙人房的問題,想請教三人是否可以住雙人房的問題,訂退房或入住(Check in)
shyang,住,入住國外飯店時要注意的禁忌..........,入住國外飯店時要知道的禁忌是..........,住宿禮儀或禁忌
shyang,住,請問台灣有沒有便宜的民宿只提供床位和盥洗?,我只需要有提供床位和盥洗設備，請問台灣有這類的便宜民宿嗎？,住宿類型或風格
shyang,住,一榮飯店在樂天價格早上跟晚上不同？,一榮飯店在樂天價格有早上跟晚上的差別嗎？,住宿價格/稅金
shyang,住,持KIX-ITM卡住關西日航飯店會打折嗎?,持KIX-ITM卡住關西日航飯店會有折扣嗎？,優惠折扣
shyang,住,想請問The Dorm跟FUKU青年旅店周邊環境安全問題,想請問The Dorm跟FUKU青年旅店周邊的環境是否安全？,安全問題
shyang,住,可以推薦離地鐵近的住宿嗎？,我需要住宿且要離地鐵近的，請問你有口袋名單嗎？,住宿類型或風格
shyang,住,請問東橫INN大阪船場2號店交通位置是否方便？20170207開幕,請問東橫INN大阪船場2號店周邊交通是否方便？20170207開幕,飯店聯絡或基本資訊
shyang,住,九份海景雙人房 讓出,九份海景雙人房  租讓,其他
shyang,行,﻿有人坐過Country link的火車嗎,Country link的火車，有人坐過嗎,坐火車
shyang,行,"今日澳洲國際所有航班,因地勤罷工而會嚴重delay,旅客將延誤或完全無法提取行李(老包)","今日澳洲國際所有航班,因地勤罷工而會嚴重延誤,旅客將延誤或完全無法提取行李(老包)",搭飛機
shyang,行,請問麗星郵輪帶酒及飲料上船,請問若要帶酒及飲料上麗星郵輪，這是可以的嗎？,搭船/郵輪
shyang,行,8天7夜台中台南 包車服務查詢,查詢台中台南8天7夜台中台南的包車服務,包車
shyang,行,首衝沖繩~想問trc租車保險問題,首衝沖繩~請問trc租車的保險事項,其他
shyang,行,JR東日本鐵路周遊券（長野、新潟地區）有包含埼玉新都市交通嗎,若持JR東日本鐵路周遊券（長野、新潟地區）是可以在埼玉新都市使用的嗎？,交通票卡/票券
shyang,行,駕照譯本更換問題,駕照譯本更換問題請教,簽證護照
shyang,行,計程車安全座椅問題,關於計程車安全座椅問題,安全問題
shyang,行,沖繩機場有行李箱寄放的櫃子嗎,請問沖繩機場有無行李寄放的櫃子？,設施與服務
shyang,行,外國人網絡預訂車票問題,外國人網絡預訂車票相關問題,其他
shyang,樂,﻿台灣帶狗狗出遊的好地方,台灣帶狗狗出遊的好處所,景點/活動/店家資訊
shyang,樂,2018富士山開山日一問,尋求2018富士山開山日尋求日期,景點/活動/店家資訊
